Posting ID	Title	Desires Bachelor's	Desires Masters's	Years of Experience	    SQL Skills	Excel Skills	Power BI Skills	Tableau Skills	Python Skills	R Skills
3970523586	Senior Finance Analyst, Global Marketplace Supply Chain	Yes	No	3	Yes	Yes	No	No	No	No
3976650100	Data Scientist (Senior Customer Experience Data Strategist and Developer) 12-month Roster Amended	Yes	No	one	No	No	No	No	No	No
3964600997	Analyst	Yes	Yes	1	No	No	No	No	No	No
3980497406	Data Entry Clerk Intern	No	No	0	No	Yes	No	No	No	No
3965636687	Senior Financial Analyst, Revenue	No	No	2	No	Yes	No	No	No	No
3977060461	Senior Data Scientist	Yes	Yes	1	No	Yes	No	No	No	No
3979099797	Junior Data Scientist	No	No	1	No	No	No	No	Yes	No
3966386743	Operations Research Analyst	No	No	1	No	No	No	No	No	No
3965839321	Business Analyst	No	No	0	No	No	No	No	No	No
3961920951	Data Specialist - Remote | WFH	Yes	Yes	1	No	Yes	Yes	No	No	No
3979104264	Data Scientist Engineer	No	No	1	Yes	Yes	No	No	Yes	Yes
3962717799	Business Analyst I-III	No	No	20	No	No	No	No	No	No
3978025939	Business Operations Analyst 5	Yes	Yes	8	Yes	Yes	Yes	No	Yes	No
3955669827	Information Risk Analyst - AI/ML	No	No	5	No	No	No	No	No	No
3958008148	Data Center Technician	No	No	0	No	Yes	No	No	Yes	No
3969555627	Data Analyst	No	No	15	No	Yes	No	No	No	No
3976462976	Senior Business Operations Analyst	Yes	Yes	8	Yes	Yes	Yes	No	Yes	No
3976647757	Data Scientist (Senior Customer Experience Data Strategist and Developer) 12-month Roster Amended	Yes	No	one	No	No	No	No	No	No
3978771017	Business Data Engineer	Yes	No	0	Yes	Yes	Yes	Yes	Yes	No
3973220648	Financial Analyst II	Yes	No	4	No	Yes	No	No	No	No
3960419423	Earth Observation Data Scientist	No	No	0	No	No	No	No	Yes	No
3975030519	Strategic Research Analyst	Yes	No	0	No	Yes	No	No	No	No
3966393085	Data Scientist	No	No	1	No	No	No	No	No	No
3973091628	Junior Financial Analyst	Yes	No	1	No	Yes	No	No	No	No
3975527019	Satistician (Data Scientist)	No	No	1	Yes	No	No	No	Yes	No
3976377096	Senior Data Scientist	Yes	Yes	1	No	Yes	No	No	No	No
3976877970	AWS Big Data Engineer	No	No	4	Yes	No	No	Yes	Yes	No
3966390303	Data Scientist	No	No	1	No	No	No	No	No	No
3959240050	Sales Operations Analyst	No	No	5	No	Yes	No	No	No	No
3969991777	Financial Planning Analyst **	Yes	No	5	No	Yes	No	No	No	No
3972594253	Hospital Business Support Analyst	No	No	0	No	Yes	No	No	No	No
3962120397	FP&amp;A Analyst	Yes	No	2	No	Yes	No	No	No	No
3976040039	Identity Data Analyst, (Part Time)	Yes	No	0	No	Yes	No	No	No	No
3964879636	Sustainability Data Analyst - ONSITE	Yes	No	1	No	Yes	No	Yes	No	No
3973492656	Department Head of Data Science	No	No	three	No	Yes	No	No	No	No
3962411074	Data Analytics &amp; Visualization Analyst -(Berkeley Heights, NJ)	No	No	0	Yes	No	Yes	Yes	No	No
3975521699	Satistician (Data Scientist)	No	No	1	Yes	No	No	No	Yes	No
3976336982	Data Scientist	Yes	Yes	2	Yes	No	No	No	No	No
3978118033	Data Analyst, Software Sales and Service	Yes	No	5	Yes	Yes	Yes	Yes	Yes	No
3978177797	Data Analyst	No	No	0	Yes	Yes	Yes	Yes	Yes	No
3965443463	Data Scientist - Trust &amp; Safety	No	No	3	Yes	Yes	No	No	Yes	No
3979968291	BDM Sales Lead Data Analyst	No	No	2	No	Yes	No	No	No	No
3972635785	Data Entry Associate (Part-Time) - National Office (Typist) - Remote | WFH	Yes	No	one	No	Yes	No	No	No	No
3962065897	Data Specialist	No	No	0	No	No	No	No	No	No
3977288720	Financial Analyst	Yes	No	two	No	Yes	No	No	No	No
3977345426	Business Analyst and Quality Assurance (Remote)	No	No	3	No	No	No	No	No	No
3971727406	Order Management Analyst	No	No	3	No	Yes	No	No	No	No
3966388221	Operations Research Analyst	No	No	1	No	No	No	No	No	No
3974877275	Business Analyst II	No	No	5	No	No	No	No	No	No
3970471270	Data Specialist	No	No	0	No	No	No	No	No	No
3976656500	Data Scientist (Customer Experience Data Strategist and Developer)(6-Month Roster)	Yes	No	three	No	No	No	No	No	No
3910643713	Principal Data Scientist	Yes	Yes	5	No	Yes	No	No	No	No
3966391330	Data Scientist	No	No	1	No	No	No	No	No	No
3959943395	Payments Risk Analyst, New Product Launch	Yes	No	1	Yes	No	No	No	Yes	No
3961130316	Data Analytics Manager	Yes	No	4	Yes	Yes	Yes	Yes	Yes	No
3972807773	Order Management Analyst	Yes	No	3	No	Yes	No	No	No	No
3976024775	Financial Analyst	Yes	No	0	No	Yes	No	No	No	No
3976356449	Financial Business Analyst	No	No	2	No	No	No	No	No	No
3950596411	Energy Analyst	Yes	No	two	No	No	No	No	No	No
3954484868	Geospatial Data Scientist	Yes	Yes	5	Yes	No	No	No	Yes	No
3958128028	Senior Analyst, Customer Experience &amp; Support	No	No	0	Yes	No	No	Yes	Yes	Yes
3965751170	Data Analyst - Insurance - REMOTE	No	No	25	Yes	Yes	Yes	No	No	No
3971683799	Costing Analyst - HOKA Footwear	Yes	No	2	No	Yes	No	No	No	No
3971289155	Business Systems Analyst	No	Yes	10	No	Yes	No	No	No	No
3970475088	Supply Chain Analyst	No	No	0	No	No	No	No	No	No
3960552909	Data Analyst, Institutional Data and Analytics	No	No	3	Yes	Yes	No	Yes	Yes	No
3960896751	Student Data Collector - Part Time	No	No	0	No	No	No	No	No	No
3975244420	Senior Business Analyst	No	No	0	Yes	No	No	Yes	No	No
3977110533	Environmental Data Analyst	No	No	5	Yes	Yes	Yes	No	No	No
